장소,자동차정비업체종류,도로명주소,위도,경도,전화번호
일이자동차공업사,3,광주광역시 동구 산수길35번길 36-2(계림동),35.15926313,126.925493,062-226-0862
환영공업사,3,광주광역시 동구 경양로 366(산수동),35.15391124,126.9291328,062-232-6340
붕붕자동차공업사,3,광주광역시 동구 필문대로 239(동명동),35.14955263,126.9297731,062-228-7633
아성자동차공업사,3,광주광역시 동구 지산로 45(지산동),35.14792078,126.932259,062-226-1853
화랑자동차공업사,3,광주광역시 동구 중흥로 198(계림동),35.16064808,126.9152184,062-522-6254
현대자동차 산수점,3,광주광역시 동구 필문대로 112(산수동),35.16058906,126.9300841,062-528-8572
타이어프로 종원카센타,3,광주광역시 동구 남문로 639(소태동),35.12777244,126.9303535,062-228-5454
남일자동차공업사,3,광주광역시 동구 경양로 342(산수동),35.15370772,126.9264288,062-228-0291
도움부분정비공업사,3,광주광역시 동구 천변좌로 666(용산동),35.12485524,126.929689,062-234-9483
2U카모터스,3,광주광역시 동구 중흥로 229(계림동),35.15951827,126.9185737,062-576-2323
대명카센타,3,광주광역시 동구 경양로243번길 25(계림동),35.15903173,126.9188552,062-224-1610
우리카부분정비공업사,3,광주광역시 동구 남문로 594-11(소태동),35.1242477,126.9328228,062-222-8555
광남카써비스,3,광주광역시 동구 밤실로 20(지산동),35.14931152,126.9371612,062-222-1992
광주자동차공업사,3,광주광역시 동구 남문로 617(소태동),35.12604949,126.9311493,062-225-8626
애니카랜드 학동점,3,광주광역시 동구 증심천로33번길 19-1(학동),35.13220873,126.9331542,062-234-5270
스카이모터스,3,광주광역시 동구 무등로 428-2(계림동),35.1578731,126.9282469,062-419-0322
학동카센타,3,광주광역시 동구 남문로622번길 1(소태동),35.1267816,126.9315217,062-226-1688
하이카랜드,3,광주광역시 동구 무등로 426(산수동),35.15803524,126.9280844,062-222-6257
현대자동차공업사,3,광주광역시 동구 천변좌로 692(용산동),35.12261675,126.9305598,062-234-5227
노아자동차정비소,3,광주광역시 동구 의재로 86(소태동),35.13187542,126.9368937,062-233-7077
남선카서비스,3,광주광역시 동구 동계천로 4(대인동),35.15670958,126.9132996,062-223-5336
신호자동차정비,3,광주광역시 동구 천변우로 435(금동),35.14341826,126.9160659,062-234-5959
보리카매니아,3,광주광역시 동구 지호로 18(지산동),35.14846446,126.9309373,062-228-8852
가온카클리닉,3,광주광역시 동구 무등로 408-1(계림동),35.15927115,126.9268101,062-228-5109
에이스모터스,3,광주광역시 동구 무등로 439(산수동),35.15723922,126.9294065,062-523-8297
우주카센타,3,광주광역시 동구 천변좌로 642-1(소태동),35.12701121,126.9295248,062-652-5073
르노코리아자동차서비스코너 산수점,3,광주광역시 동구 필문대로 133(산수동),35.15882672,126.931328,062-268-7788
유앤아이모터스,3,광주광역시 동구 밤실로116번길 1(산수동),35.15776551,126.9356972,062-522-6625
현대정비센타,3,광주광역시 동구 필문대로187번길 19-21(산수동),35.15509686,126.9345359,062-222-5344
만카종합카써비스,3,광주광역시 동구 화산로 346(용산동),35.11963209,126.9317208,062-234-1442
(유)한결자동차서비스,1,광주광역시 동구 소태길 76(소태동),35.12060663,126.9405841,062-234-4940
모아카서비스,3,광주광역시 동구 동명로67번길 14(지산동),35.15212895,126.9272522,062-523-5026
바별카튜닝,3,광주광역시 동구 필문대로 251(동명동),35.14864732,126.9291921,062-366-4785
지산경정비,3,광주광역시 동구 필문대로 219(지산동),35.15110723,126.9309131,062-225-3093
고려자동차공업사,3,광주광역시 동구 중흥로 217(계림동),35.16004748,126.9174054,062-228-2740
오토오아시스홈플러스 계림점,3,광주광역시 동구 무등로 314(계림동),35.16143883,126.9166397,062-236-2731
카복지매장,3,광주광역시 동구 독립로368번길 5(계림동),35.16323045,126.9158392,062-521-3171
신동아3급자동차공업사,3,광주광역시 동구 지호로 24(지산동),35.14823046,126.9315696,062-227-7913
용산카서비스,3,광주광역시 동구 화산로335번길 3(용산동),35.11921315,126.9304705,062-222-6914
매직카용품,3,광주광역시 동구 필문대로 127(산수동),35.1593711,126.9312617,062-266-8989
(유)동화운수,3,광주광역시 동구 남문로 333(월남동),35.10193508,126.9380548,062-234-0156
(유)뉴무등자동차,1,광주광역시 북구 하서로 670(지야동),35.23220044,126.8887328,062-575-6112
(유)동원1급자동차정비,1,"광주광역시 북구 저불로 56, 106동(용봉동)",35.17942085,126.8958244,
(유)신화모터스,1,광주광역시 북구 하서로322번길 24-3(양산동),35.206124,126.8753287,062-571-4545
(주)뉴 중흥자동차공업사,2,"광주광역시 북구 제봉로 277-1, 324동(중흥동)",35.1592171,126.910766,
(주)다온알에스,3,광주광역시 북구 용봉로 77(용봉동),35.1738807,126.911143,062-530-0345
(주)아이타이어 자동차공업사(운암점),3,광주광역시 북구 북문대로 183(운암동),35.18449098,126.870556,062-515-5560
(주)아진자동차정비,2,광주광역시 북구 중가로 42-1(유동),35.15942875,126.9045951,062-527-5147
(주)애니카랜드동광주점,3,광주광역시 북구 면앙로139번길 86(두암동),35.180126,126.9293718,062-266-6161
(주)에스지모터스,1,광주광역시 북구 하서로672번길 8(지야동),35.23273848,126.888664,062-515-1112
(주)케이모터스,1,광주광역시 북구 하서로 652-11(지야동),35.23131722,126.887875,062-575-2089
(합)북광주 현대 서비스,1,"광주광역시 북구 하서로672번길 37, 외 2필지(용전동)",35.23479773,126.8906808,062-576-2323
2U카모터스,3,광주광역시 북구 설죽로 496-7(일곡동),35.20374266,126.8994725,062-261-9444
31모터스,3,광주광역시 북구 우치로 343(삼각동),35.19529726,126.9038217,
CAR TUNE,3,광주광역시 북구 금남로 68-1(유동),35.15783697,126.9031418,
DS모터스포츠,3,"광주광역시 북구 양산택지로 138, 1층 103,104호(본촌동)",35.21719133,126.8801263,062-449-5185
H-모터스,3,광주광역시 북구 설죽로 160(용봉동),35.17413162,126.8959528,
JJ카클리닉,3,광주광역시 북구 비엔날레로 161(용봉동),35.18339421,126.8947849,062-513-7987
MS골드 모터스,3,광주광역시 북구 양산택지로 51번길 15(양산동),35.21106328,126.8783682,062-266-9664
OK공업사,3,광주광역시 북구 서하로 237(오치동),35.18729729,126.9065847,
RECCO R,3,광주광역시 북구 하서로 1116(태령동),35.2502515,126.9273709,
THE GARAGE,3,광주광역시 북구 설죽로 142(용봉동),35.17289698,126.8965249,062-523-8979
T-STATION,3,광주광역시 북구 북문대로 28(운암동),35.17486417,126.8825595,062-511-8979
T-station 광주역점,3,광주광역시 북구 무등로 205(중흥동),35.16532558,126.9061613,062-529-5572
Tstation전남대점,3,광주광역시 북구 용봉로 50(신안동),35.17145896,126.902507,062-430-2002
